District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
POZNAŃSKI,0.9592506771909786,0.0,1.9185013543819571,0.0,1.9185013543819571,0.0,11.511008126291742,1.9185013543819571,20.14426422101055,0.9592506771909786,47.96253385954893,1.9185013543819571,45.084781827975995,0.0,338.61548904841544,20.14426422101055,468.1143304691975,24.940517606965443
GNIEZNO (MIASTO),0.0002721653073531498,0.0,0.0,0.0,0.0002721653073531498,0.0,0.0021773224588251985,0.0,0.006531967376475595,0.0,0.010342281679419692,0.0002721653073531498,0.01496909190442324,0.0,0.17826827631631312,0.007348463298535045,0.21283327035016317,0.007620628605888195
KALISKI,3.9400895531660547,0.0,0.9982805233787777,0.0,0.9875912555062666,0.0,27.682054090578244,0.0102754688590116,49.40176890908535,3.9477961548103133,75.29640944807402,6.918690321986872,114.80047346733816,9.907980358680199,1005.2885311029899,117.11198887056055,1278.3951983501165,137.89673117489693
KOLSKI,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,2.0,30.0,2.0,31.0,1.0,654.0,20.0,734.0,25.0
KONIŃSKI,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,47.0,2.0,41.0,2.0,1166.0,72.0,1286.0,76.0
TURECKI,0.0400590613409366,0.0,0.9950021212794989,0.0,0.01001476533523415,0.0,3.235375497219351,0.0,4.440687690538766,0.0400590613409366,20.460869284363092,1.0550907132909038,21.846447253716722,3.055109721185136,382.4801925968595,64.22093308999058,433.5086482706531,68.37119258580756
DOLIŃSKI,0.0,0.0,1.929497218962382,0.964748609481191,2.894245828443573,0.0,3.858994437924764,2.894245828443573,3.858994437924764,0.0,21.224469408586202,2.894245828443573,47.27268186457836,2.894245828443573,364.67497438389023,30.871955503398112,445.7138575803102,40.51944159821002
HORODEŃSKI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,29.0,1.0,404.0,5.0,445.0,8.0
KAŁUSKI,0.9678153079997934,0.0,0.9678153079997934,0.0,0.0,0.0,1.9356306159995869,0.0,4.839076539998967,0.0,10.645968387997728,0.9678153079997934,30.97008985599339,2.90344592399938,455.8410100679027,32.90572047199298,506.167406083892,36.77698170399215
KOŁOMYJSKI,0.0,0.0,0.010216647841882216,0.0,2.0,0.0,6.09194983057694,0.010216647841882216,21.326932730940232,2.0715165348931754,19.55169898346164,0.1328164219444688,46.56191563130352,2.0817331827350576,740.821026292864,62.52104903993599,836.3637401169882,66.81733182735059
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,12.0,5.0,39.0,13.0,479.0,20.0,538.0,39.0
NADWÓRNIAŃSKI,0.022238210954890442,0.0,1.0120215631130083,0.0,0.5863411166946917,0.0,10.711549941416916,0.9897833521581179,34.12962279061299,6.928483465106825,56.62462692051562,12.889421789010422,67.4628705698415,7.984981450129614,550.1057537916554,68.23894251667635,720.655024904805,97.03161257308133
ROHATYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,31.0,2.0,18.0,5.0,299.0,23.0,356.0,30.0
