District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
NOWOTARSKI,13213.217260716936,58573.81161809516,14027.500283201976,24969.794581612154
TARNOWSKI,10266.878534929941,40613.59446197393,12227.446668866603,892.6414032591496
WADOWICKI,8118.565917553083,54429.069076156826,18623.720212168555,3166.239257403504
ŻYWIECKI,5155.706225232232,44067.3986176097,9164.13162071569,4314.4884252162165
DĘBICKI,14915.727245152731,48844.17011591224,12897.166560779466,616.9712718976027
BIALSKI (BIAŁA PODLASKA),21700.442294810357,35913.14541496044,23913.523535121163,18313.919956934158
BIŁGORAJSKI,18305.0,38989.0,17193.0,833.0
CHEŁMSKI,26229.0,41895.0,23679.0,2188.0
GARWOLIŃSKI,20309.0,47175.0,34385.0,2373.0
HRUBIESZOWSKI,28811.920296880762,33124.2750502263,21378.03846708968,2410.0131188041773
JANOWSKI,22052.0,50010.0,26321.0,2159.0
KRASNOSTAWSKI,24208.0,41671.0,24212.0,1621.0
LUBARTOWSKI,16406.0,30051.0,23100.0,1403.0
LUBELSKI,26588.0,57866.0,40795.0,4979.0
ŁUKOWSKI,19443.0,38050.0,28849.0,4254.0
PUŁAWSKI,18868.0,37580.0,26940.0,1986.0
RADZYŃSKI,18351.0,28257.0,20833.0,6804.0
SIEDLECKI,22595.557705062824,42847.85458482218,28336.476464746676,10746.080042961876
SOKOŁOWSKI,16596.0,31476.0,20952.0,4821.0
TOMASZOWSKI,21595.079703119238,30114.724949773703,16666.96153291032,1116.9868811958227
WĘGROWSKI,14513.0,36335.0,19527.0,1310.0
WŁODAWSKI,23101.0,43790.0,26049.0,4017.0
ZAMOJSKI,25126.0,40899.0,21514.0,1084.0
LUBLIN (MIASTO),1272.0,1115.0,1318.0,118.0
BÓBRECKI,14126.0,29069.0,13055.0,641.0
BRZOZOWSKI,7984.0,32428.0,6795.0,659.0
DOBROMILSKI,11028.772963221301,36045.97930359206,6584.6543018686625,2188.3535810639396
DROHOBYCKI,19875.89370033034,46319.125617119076,13829.93548052814,2872.9263229853823
GRÓDECKI,12533.000016510905,24312.00003031623,8912.000011136595,940.0000019756989
JAROSŁAWSKI,21514.0,45239.0,15781.0,816.0
JAWOROWSKI,15591.999714928676,28628.98155615793,10517.025954624256,1865.8523768712494
KOLBUSZOWSKI,9029.0,32857.0,6314.0,48.0
KROŚNIEŃSKI,9827.640235962128,44495.49496942722,11198.434725075436,1853.7065309895263
LESKI,13675.0,46107.0,9059.0,4301.0
LWOWSKI,23505.0,48697.0,15069.0,387.0
LWÓW (MIASTO),1688.0,1176.0,296.0,139.0
ŁAŃCUCKI,12894.0,34657.0,9257.0,1026.0
MOŚCISKI,14905.0,28828.0,13052.0,656.0
