District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
PRUŻAŃSKI,21.86,16.6,16.0,15.57,15.93,15.63,16.38,3.92,2.76,7.1,4.84,4.59
STOLIŃSKI,20.83,17.18,18.0,15.0,15.71,14.25,22.5,3.93,2.1,6.15,3.56,2.48
IWACEWICKI,19.57,16.0,17.5,16.14,15.56,14.56,17.8,4.47,4.0,6.8,3.43,2.84
BRODNICKI,21.014055710719525,15.209341712116572,17.745864764502496,15.915328626435294,15.770077241209345,0.0,22.497547992165643,4.661712122975436,2.5631976211236007,6.336579193607178,6.283081149284807,4.207068973076019
CHEŁMIŃSKI,20.013077152223225,14.033366202993294,16.584235725653564,14.974654086655802,14.503542371302318,0.0,18.829434305939525,5.154563787077988,4.144947302915365,5.9674823936531896,5.314775329931469,3.170866106080415
CHOJNICKI,19.74476640584355,14.443245381399194,16.644802656889734,15.627965753552347,14.46306801432919,0.0,20.366273478829736,4.521582978427073,2.833466783558144,5.587905218642199,5.5187245407002266,4.502626690135702
GRUDZIĄDZ (MIASTO),20.71,14.88,17.25,15.83,15.75,0.0,22.0,5.07,0.0,6.0,5.57,3.89
GRUDZIĄDZKI,20.49108515213253,14.722711108823372,17.067659047527094,15.662669143324864,15.583514782524738,0.0,21.767449220034553,5.016407615707964,3.9577180400062826,5.936577060009424,5.511122370708748,3.84888079390611
KARTUSKI,21.027633733470136,14.866048034825399,16.949250818652903,15.892978984599521,16.039683405995824,0.0,19.560589519507104,5.310700054546178,4.5673976528049085,8.019841702997912,7.090713700821325,5.183556222669382
KOŚCIERSKI,19.856467547649455,14.253949751687475,16.5421838383659,15.614184765381047,14.693969396291118,0.0,18.140033346589693,4.717612504661017,3.3541281274843153,6.356133681272769,5.892746926569094,8.68776807710838
LUBAWSKI,19.07,13.73,15.17,14.71,14.09,0.0,17.5,4.19,3.6,5.56,4.5,2.94
SĘPOLEŃSKI,19.31,14.36,15.75,15.67,15.8,0.0,23.0,4.33,0.0,6.33,5.5,4.33
STAROGARDZKI,21.25574616548654,15.99380280474837,17.756297383972946,16.56623820769614,16.308912791031247,0.0,22.42969495472165,5.47523315129981,3.906258648193124,7.2418278578769115,5.94391403975787,4.237111940340886
ŚWIECKI,21.869448686067113,15.576646507800476,16.495454122577378,15.518277371899458,14.790734203575655,0.0,23.06781782196813,5.358549288976015,3.9630319532322984,6.319519379013225,5.842773627431411,3.6975866787185807
TCZEWSKI,20.11,15.78,17.33,16.5,16.19,0.0,22.0,5.03,3.35,6.14,5.43,3.88
TORUŃ (MIASTO),21.52088504637657,15.49013916567076,17.85753856384969,16.184032092723204,15.81667701369544,0.0,22.449477051696753,5.3572615691549075,0.0,8.020585892106205,6.459326806238202,4.183766177816213
TORUŃSKI,20.896037801400205,15.026494631335945,17.338225710496747,15.711313820620992,15.34978061500224,0.0,21.721088642363718,5.208174643767104,0.15505269708463465,7.731931714240607,6.245897863830329,4.035367716103371
TUCHOLSKI,18.235937461483218,13.74630751953909,15.172011179541139,14.900354916871484,14.253632188776969,0.0,17.10559087838369,4.326322022089906,3.38571683472721,6.894772160196984,6.291127164720074,4.651350391027071
WĄBRZESKI,20.304859137147947,14.027947179060057,15.41647618797041,14.532002230239842,14.446407976265917,0.0,18.165002787799803,4.431880261316601,3.7090843388701167,5.306843746383398,4.355796480006445,3.224050233017871
MORSKI,21.55,15.3,20.0,17.83,16.64,0.0,21.25,6.82,4.33,7.81,7.06,5.43
GDYNIA (MIASTO),21.55,15.3,20.0,17.83,16.64,0.0,21.25,6.82,0.0,7.81,7.06,5.43
BYDGOSKI,21.06089549483794,14.413769009756198,16.992654172389415,15.193431965901123,14.593691230405026,0.0,20.491141796116647,4.318133295571899,3.528474660502037,6.807057347880701,5.247731435590849,3.7283882390007363
BYDGOSZCZ (MIASTO),21.079104505162064,14.426230990243804,17.007345827610585,15.206568034098877,14.606308769594975,0.0,20.508858203883353,4.3218667044281025,0.0015253394979630034,6.8129426521192995,5.252268564409151,3.731611760999264
INOWROCŁAWSKI,20.79,14.3,16.14,15.0,14.83,0.0,19.75,3.91,3.25,6.33,5.94,3.71
