Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len;Konopie;Rzepak i rzepik;Chmiel;Tytoń
LWOWSKIE;BÓBRECKI; 10 827 ; 7 452 ; 3 572 ; 6 975 ; 7 880 ; 1 159 ; 655 ; 585 ; 691 ; 143 ; 62 ; 272 ; 115 ; 284 ; 246 ; 28 ; 2 ; -   
LWOWSKIE;DOBROMILSKI; 5 769 ; 8 700 ; 2 434 ; 9 208 ; 5 862 ; 29 ; 26 ; 27 ; 33 ; 124 ; 154 ; 65 ; 192 ; 177 ; 160 ; 16 ; -   ; -   
LWOWSKIE;DROHOBYCKI; 4 466 ; 10 374 ; 2 647 ; 9 506 ; 9 081 ; -   ; 75 ; 441 ; 55 ; 44 ; 22 ; 56 ; 227 ; 594 ; 205 ; -   ; -   ; -   
LWOWSKIE;GRÓDECKI; 5 894 ; 9 700 ; 3 067 ; 7 019 ; 6 628 ; 52 ; 1 343 ; 488 ; 19 ; 181 ; 58 ; 118 ; 311 ; 469 ; 235 ; 13 ; -   ; -   
LWOWSKIE;JAROSŁAWSKI; 11 339 ; 19 709 ; 4 895 ; 9 062 ; 9 946 ; 1 126 ; 528 ; 631 ; 98 ; 177 ; 162 ; 101 ; 61 ; 241 ; 292 ; 56 ; -   ; -   
LWOWSKIE;JAWOROWSKI; 4 200 ; 16 192 ; 3 440 ; 7 838 ; 7 615 ; 3 ; 1 323 ; 813 ; 12 ; 95 ; 83 ; 80 ; 80 ; 530 ; 373 ; -   ; -   ; -   
LWOWSKIE;KOLBUSZOWSKI; 2 824 ; 15 300 ; 3 274 ; 4 638 ; 7 887 ; -   ; 693 ; 658 ; 4 ; 44 ; 115 ; 61 ; 49 ; 266 ; 128 ; -   ; -   ; -   
LWOWSKIE;KROŚNIEŃSKI; 7 540 ; 10 919 ; 4 228 ; 9 214 ; 7 966 ; 19 ; 42 ; 76 ; 4 ; 705 ; 142 ; 99 ; 257 ; 69 ; 51 ; 11 ; -   ; -   
LWOWSKIE;LESKI; 3 282 ; 8 228 ; 2 726 ; 25 883 ; 8 483 ; -   ; 5 ; 1 ; -   ; 32 ; 35 ; 125 ; 366 ; 575 ; 245 ; 1 ; -   ; -   
LWOWSKIE;LUBACZOWSKI; 5 811 ; 13 141 ; 3 810 ; 9 070 ; 7 372 ; -   ; 2 249 ; 859 ; 2 ; 104 ; 88 ; 155 ; 58 ; 601 ; 533 ; 24 ; 2 ; -   
LWOWSKIE;LWOWSKI; 13 444 ; 13 586 ; 3 997 ; 11 610 ; 11 259 ; 255 ; 1 565 ; 588 ; 194 ; 247 ; 245 ; 196 ; 177 ; 295 ; 219 ; 6 ; 25 ; -   
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI; 7 895 ; 14 004 ; 3 250 ; 5 636 ; 7 247 ; 32 ; 325 ; 768 ; 219 ; 112 ; 151 ; 68 ; 132 ; 369 ; 266 ; 75 ; 11 ; -   
LWOWSKIE;NIŻAŃSKI; 3 132 ; 10 599 ; 2 345 ; 3 372 ; 6 699 ; 14 ; 929 ; 776 ; 35 ; 49 ; 18 ; 27 ; 69 ; 247 ; 197 ; -   ; -   ; -   
LWOWSKIE;PRZEMYSKI; 12 480 ; 14 330 ; 3 657 ; 6 842 ; 8 739 ; 395 ; 45 ; 128 ; 80 ; 105 ; 70 ; 176 ; 155 ; 28 ; 96 ; 42 ; -   ; -   
LWOWSKIE;PRZEWORSKI; 5 959 ; 7 327 ; 1 444 ; 3 662 ; 3 522 ; 1 250 ; 68 ; 223 ; 19 ; 138 ; 92 ; 60 ; 34 ; 6 ; 28 ; 44 ; -   ; -   
LWOWSKIE;RAWSKI (RAWA RUSKA); 10 892 ; 16 241 ; 8 020 ; 9 622 ; 10 226 ; 155 ; 2 201 ; 980 ; 55 ; 274 ; 153 ; 345 ; 216 ; 189 ; 352 ; 64 ; -   ; -   
LWOWSKIE;RUDECKI; 6 006 ; 6 571 ; 3 206 ; 4 587 ; 7 117 ; 190 ; 519 ; 716 ; 475 ; 110 ; 83 ; 20 ; 325 ; 538 ; 243 ; 53 ; -   ; -   
LWOWSKIE;RZESZOWSKI; 14 502 ; 21 458 ; 6 514 ; 10 669 ; 11 178 ; 106 ; 65 ; 344 ; 17 ; 455 ; 143 ; 215 ; 230 ; 65 ; 97 ; 46 ; -   ; -   
LWOWSKIE;SAMBORSKI; 10 074 ; 16 233 ; 5 899 ; 9 578 ; 12 682 ; 24 ; 64 ; 582 ; 30 ; 237 ; 85 ; 91 ; 355 ; 383 ; 262 ; -   ; -   ; -   
LWOWSKIE;SANOCKI; 7 144 ; 10 236 ; 5 318 ; 15 151 ; 8 343 ; 64 ; 10 ; 19 ; 4 ; 371 ; 65 ; 261 ; 449 ; 244 ; 207 ; 10 ; -   ; -   
LWOWSKIE;SOKALSKI; 18 675 ; 12 495 ; 7 791 ; 9 489 ; 10 325 ; 376 ; 1 228 ; 968 ; 15 ; 393 ; 359 ; 892 ; 151 ; 396 ; 549 ; 39 ; -   ; -   
LWOWSKIE;TARNOBRZESKI; 2 855 ; 10 726 ; 3 567 ; 4 126 ; 6 701 ; 168 ; 243 ; 788 ; -   ; 100 ; 152 ; 74 ; 26 ; 127 ; 82 ; 1 ; -   ; -   
LWOWSKIE;TURCZAŃSKI; 667 ; 4 814 ; 1 032 ; 32 622 ; 9 671 ; -   ; 1 ; -   ; -   ; 25 ; 17 ; 45 ; 363 ; 805 ; 146 ; -   ; -   ; -   
LWOWSKIE;ŁAŃCUCKI; 5 907 ; 16 362 ; 3 426 ; 5 971 ; 6 980 ; 350 ; 1 409 ; 1 151 ; 8 ; 56 ; 157 ; 98 ; 76 ; 418 ; 159 ; -   ; 29 ; -   
LWOWSKIE;ŻÓŁKIEWSKI; 9 564 ; 11 858 ; 3 858 ; 3 867 ; 6 479 ; 7 169 ; 10 ; 1 171 ; 712 ; 85 ; 126 ; 215 ; 274 ; 173 ; 403 ; 297 ; 12 ; 10 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI; 3 733 ; 39 739 ; 8 216 ; 18 220 ; 16 778 ; -   ; 6 716 ; 65 ; 1 ; 168 ; 352 ; 632 ; 106 ; 1 218 ; 59 ; 33 ; -   ; -   
NOWOGRÓDZKIE;LIDZKI; 1 662 ; 49 156 ; 12 732 ; 22 239 ; 16 740 ; -   ; 7 762 ; -   ; 2 ; 693 ; 437 ; 4 379 ; 231 ; 2 077 ; 95 ; -   ; -   ; -   
NOWOGRÓDZKIE;NIEŚWIESKI; 4 378 ; 27 604 ; 6 781 ; 17 479 ; 14 855 ; -   ; 2 266 ; 42 ; -   ; 13 ; 72 ; 407 ; 13 ; 1 106 ; 18 ; -   ; -   ; -   
NOWOGRÓDZKIE;NOWOGRÓDZKI; 6 481 ; 34 290 ; 8 625 ; 18 469 ; 14 388 ; -   ; 3 833 ; -   ; 1 ; 263 ; 346 ; 2 350 ; 181 ; 2 817 ; 210 ; 8 ; -   ; -   
NOWOGRÓDZKIE;STOŁPECKI; 2 449 ; 29 785 ; 6 178 ; 11 327 ; 13 274 ; -   ; 2 735 ; -   ; 1 ; 95 ; 64 ; 859 ; 8 ; 798 ; 66 ; 1 ; -   ; -   
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE); 1 090 ; 24 593 ; 6 959 ; 8 944 ; 9 029 ; -   ; 2 445 ; -   ; -   ; 119 ; 198 ; 2 025 ; 59 ; 1 065 ; 41 ; 6 ; -   ; -   
NOWOGRÓDZKIE;SŁONIMSKI; 3 085 ; 38 071 ; 6 100 ; 12 428 ; 12 894 ; -   ; 5 591 ; 28 ; -   ; 167 ; 105 ; 1 688 ; 53 ; 985 ; 79 ; -   ; -   ; -   
NOWOGRÓDZKIE;WOŁOŻYŃSKI; 1 443 ; 23 048 ; 7 902 ; 14 618 ; 10 540 ; -   ; 1 920 ; -   ; -   ; 30 ; 67 ; 2 642 ; 72 ; 3 029 ; 202 ; 1 ; -   ; -   
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.); 7 631 ; 57 549 ; 8 833 ; 18 081 ; 26 429 ; -   ; 4 546 ; 1 848 ; 5 ; 150 ; 53 ; 1 394 ; 213 ; 1 482 ; 437 ; 213 ; -   ; -   
POLESKIE;DROHICKI; 2 360 ; 21 364 ; 2 983 ; 8 699 ; 11 164 ; -   ; 1 588 ; 1 218 ; 1 ; 5 ; 189 ; 137 ; 106 ; 1 136 ; 54 ; 8 ; -   ; -   
POLESKIE;IWACEWICKI; 536 ; 24 842 ; 3 373 ; 6 299 ; 9 723 ; -   ; 2 037 ; 358 ; -   ; 8 ; 21 ; 185 ; 26 ; 931 ; 31 ; 34 ; -   ; -   
POLESKIE;KOBRYŃSKI; 4 755 ; 35 163 ; 4 177 ; 9 763 ; 13 834 ; -   ; 2 966 ; 1 629 ; -   ; 39 ; 35 ; 320 ; 93 ; 1 684 ; 35 ; 12 ; -   ; -   
POLESKIE;KOSZYRSKI; 983 ; 23 607 ; 3 627 ; 5 627 ; 11 609 ; -   ; 3 019 ; 1 300 ; 121 ; 2 ; 3 ; 779 ; 188 ; 1 450 ; 966 ; -   ; -   ; -   
POLESKIE;PIŃSKI; 1 969 ; 37 367 ; 4 467 ; 13 936 ; 21 755 ; -   ; 4 022 ; 2 772 ; -   ; 11 ; 49 ; 137 ; 211 ; 1 799 ; 361 ; 17 ; -   ; -   
POLESKIE;PRUŻAŃSKI; 2 108 ; 30 137 ; 4 314 ; 8 527 ; 17 042 ; -   ; 2 416 ; 764 ; -   ; 219 ; 11 ; 366 ; 63 ; 1 095 ; 12 ; 36 ; -   ; -   
POLESKIE;STOLIŃSKI; 2 368 ; 23 308 ; 2 550 ; 4 485 ; 11 500 ; -   ; 4 011 ; 3 568 ; 6 ; 5 ; 10 ; 261 ; 137 ; 656 ; 415 ; -   ; -   ; -   
